year,tile,ndvi_range,ndvi_freq,lstf_range,lstf_freq
2013,0-0,<0,4,50-60,0
2013,0-0,0.0 - 0.1,3,60-70,0
2013,0-0,0.1 - 0.2,624,70-80,0
2013,0-0,0.2 - 0.3,20765,80-90,0
2013,0-0,0.3 - 0.4,79227,90-100,310
2013,0-0,0.5 - 0.6,8221,100-110,9426
2013,0-0,0.6 - 0.7,1101,110-120,85888
2013,0-0,0.7 - 0.8,273,120-130,14600
2013,0-0,0.8 - 0.9,4,130-140,0
2013,0-0,0.9 - 1.0,2,140-150,0
2013,0-1,<0,7,50-60,0
2013,0-1,0.0 - 0.1,151,60-70,0
2013,0-1,0.1 - 0.2,14237,70-80,0
2013,0-1,0.2 - 0.3,69969,80-90,0
2013,0-1,0.3 - 0.4,24856,90-100,38
2013,0-1,0.5 - 0.6,694,100-110,1847
2013,0-1,0.6 - 0.7,248,110-120,43125
2013,0-1,0.7 - 0.8,61,120-130,62592
2013,0-1,0.8 - 0.9,0,130-140,2622
2013,0-1,0.9 - 1.0,1,140-150,0
2013,0-2,<0,38,50-60,0
2013,0-2,0.0 - 0.1,474,60-70,0
2013,0-2,0.1 - 0.2,12972,70-80,0
2013,0-2,0.2 - 0.3,72798,80-90,0
2013,0-2,0.3 - 0.4,21725,90-100,18
2013,0-2,0.5 - 0.6,1593,100-110,307
2013,0-2,0.6 - 0.7,380,110-120,18496
2013,0-2,0.7 - 0.8,224,120-130,82983
2013,0-2,0.8 - 0.9,9,130-140,8417
2013,0-2,0.9 - 1.0,11,140-150,3
2013,0-3,<0,4,50-60,0
2013,0-3,0.0 - 0.1,57,60-70,0
2013,0-3,0.1 - 0.2,1505,70-80,0
2013,0-3,0.2 - 0.3,62054,80-90,0
2013,0-3,0.3 - 0.4,42536,90-100,2
2013,0-3,0.5 - 0.6,3836,100-110,4585
2013,0-3,0.6 - 0.7,196,110-120,20232
2013,0-3,0.7 - 0.8,35,120-130,70438
2013,0-3,0.8 - 0.9,1,130-140,14967
2013,0-3,0.9 - 1.0,0,140-150,0
2013,0-4,<0,23,50-60,0
2013,0-4,0.0 - 0.1,143,60-70,0
2013,0-4,0.1 - 0.2,626,70-80,0
2013,0-4,0.2 - 0.3,24580,80-90,0
2013,0-4,0.3 - 0.4,74076,90-100,18
2013,0-4,0.5 - 0.6,10349,100-110,3410
2013,0-4,0.6 - 0.7,386,110-120,49755
2013,0-4,0.7 - 0.8,25,120-130,56465
2013,0-4,0.8 - 0.9,5,130-140,576
2013,0-4,0.9 - 1.0,11,140-150,0
2013,0-5,<0,3485,50-60,0
2013,0-5,0.0 - 0.1,832,60-70,0
2013,0-5,0.1 - 0.2,2177,70-80,0
2013,0-5,0.2 - 0.3,17961,80-90,2837
2013,0-5,0.3 - 0.4,60069,90-100,5070
2013,0-5,0.5 - 0.6,20735,100-110,26784
2013,0-5,0.6 - 0.7,968,110-120,59532
2013,0-5,0.7 - 0.8,56,120-130,15759
2013,0-5,0.8 - 0.9,611,130-140,212
2013,0-5,0.9 - 1.0,3330,140-150,6
2013,0-6,<0,2,50-60,0
2013,0-6,0.0 - 0.1,255,60-70,0
2013,0-6,0.1 - 0.2,1219,70-80,0
2013,0-6,0.2 - 0.3,37116,80-90,0
2013,0-6,0.3 - 0.4,52646,90-100,893
2013,0-6,0.5 - 0.6,18330,100-110,29329
2013,0-6,0.6 - 0.7,650,110-120,63022
2013,0-6,0.7 - 0.8,6,120-130,16947
2013,0-6,0.8 - 0.9,0,130-140,33
2013,0-6,0.9 - 1.0,0,140-150,0
2013,1-0,<0,4,50-60,0
2013,1-0,0.0 - 0.1,92,60-70,0
2013,1-0,0.1 - 0.2,4814,70-80,0
2013,1-0,0.2 - 0.3,58589,80-90,0
2013,1-0,0.3 - 0.4,44055,90-100,74
2013,1-0,0.5 - 0.6,2295,100-110,23976
2013,1-0,0.6 - 0.7,294,110-120,79372
2013,1-0,0.7 - 0.8,80,120-130,6802
2013,1-0,0.8 - 0.9,1,130-140,0
2013,1-0,0.9 - 1.0,0,140-150,0
2013,1-1,<0,14,50-60,0
2013,1-1,0.0 - 0.1,105,60-70,0
2013,1-1,0.1 - 0.2,8418,70-80,0
2013,1-1,0.2 - 0.3,60190,80-90,0
2013,1-1,0.3 - 0.4,38154,90-100,17
2013,1-1,0.5 - 0.6,3090,100-110,18650
2013,1-1,0.6 - 0.7,212,110-120,66396
2013,1-1,0.7 - 0.8,39,120-130,24961
2013,1-1,0.8 - 0.9,0,130-140,200
2013,1-1,0.9 - 1.0,2,140-150,0
2013,1-2,<0,36,50-60,0
2013,1-2,0.0 - 0.1,229,60-70,0
2013,1-2,0.1 - 0.2,1882,70-80,0
2013,1-2,0.2 - 0.3,59281,80-90,0
2013,1-2,0.3 - 0.4,46045,90-100,11
2013,1-2,0.5 - 0.6,2661,100-110,5101
